GEOIDFQ,building_count
1500000US010890005031,576
1500000US010890029221,718
1500000US010890029223,596
1500000US010890029113,913
1500000US010890029111,1234
1500000US010890029112,750
1500000US010890029121,965
1500000US010890110132,3
1500000US010890019021,575
1500000US010890009021,402
1500000US010890027222,753
1500000US010890022001,310
1500000US010890025022,0
1500000US010890014011,1123
1500000US010890029222,1187
1500000US010890025021,648
1500000US010890031003,282
1500000US010890009013,1102
1500000US010890030001,360
1500000US010890007011,345
1500000US010890013021,1121
1500000US010890030002,1098
1500000US010890021002,627
1500000US010890026003,985
1500000US010890024003,533
1500000US010890018011,1351
1500000US010890105022,227
1500000US010890109021,0
1500000US010890106121,371
1500000US010890024001,411
1500000US010890109022,0
1500000US010890102002,0
1500000US010890027221,682
1500000US010890004031,1645
1500000US010890013011,91
1500000US010890013012,504
1500000US010890017002,838
1500000US010890007022,345
1500000US010890007021,1040
1500000US010890111001,1
1500000US010890013013,0
1500000US010890005032,695
1500000US010890027012,536
1500000US010890102001,0
1500000US010890010002,1507
1500000US010890031002,223
1500000US010890031001,534
1500000US010890003012,774
1500000US010890003013,1044
1500000US010890003011,1128
1500000US010890003021,1600
1500000US010890003022,850
1500000US010890005012,504
1500000US010890005011,832
1500000US010890005022,800
1500000US010890005021,802
1500000US010890006012,531
1500000US010890006011,616
1500000US010890006021,770
1500000US010890006022,854
1500000US010890007013,687
1500000US010890007012,662
1500000US010890009012,827
1500000US010890009011,942
1500000US010890009022,937
1500000US010890010001,1383
1500000US010890012003,394
1500000US010890012001,757
1500000US010890012002,33
1500000US010890015001,753
1500000US010890015004,623
1500000US010890015003,588
1500000US010890015002,500
1500000US010890017001,653
1500000US010890018013,748
1500000US010890018012,589
1500000US010890019011,683
1500000US010890019012,652
1500000US010890019031,1296
1500000US010890020002,1407
1500000US010890021001,23
1500000US010890021003,398
1500000US010890022002,594
1500000US010890023001,789
1500000US010890023002,721
1500000US010890023004,1118
1500000US010890024004,882
1500000US010890024002,544
1500000US010890025011,145
1500000US010890025012,131
1500000US010890026001,308
1500000US010890026002,817
1500000US010890027011,1036
1500000US010890027211,1302
1500000US010890027212,1022
1500000US010890028011,701
1500000US010890110281,0
1500000US010890112011,1450
1500000US010890108012,17
1500000US010890113011,378
1500000US010890029231,809
1500000US010890106263,700
1500000US010890009014,597
1500000US010890110282,0
1500000US010890029233,662
1500000US010890113023,1195
1500000US010890106273,6
1500000US010890108011,65
1500000US010890106262,67
1500000US010890004033,1207
1500000US010890108013,1
1500000US010890107062,0
1500000US010890028032,1833
1500000US010890112023,680
1500000US010890112033,0
1500000US010890101022,0
1500000US010890106311,587
1500000US010890106301,0
1500000US010890025013,415
1500000US010890111002,8
1500000US010890109041,1232
1500000US010890014043,685
1500000US010890028012,1341
1500000US010890028042,1589
1500000US010890028041,404
1500000US010890029242,1036
1500000US010890019013,761
1500000US010890113022,128
1500000US010890113012,0
1500000US010890110231,0
1500000US010890109051,979
1500000US010890108022,37
1500000US010890109042,628
1500000US010890002031,409
1500000US010890109052,972
1500000US010890109023,375
1500000US010890109031,494
1500000US010890108023,480
1500000US010890109033,1422
1500000US010890112031,496
1500000US010890109053,1521
1500000US010890004032,505
1500000US010890106281,54
1500000US010890106261,210
1500000US010890112032,1
1500000US010890028013,33
1500000US010890106291,0
1500000US010890110271,0
1500000US010890106272,340
1500000US010890112012,1450
1500000US010890112021,154
1500000US010890014032,86
1500000US010890104051,0
1500000US010890113021,1074
1500000US010890029241,48
1500000US010890029232,426
1500000US010890106122,1578
1500000US010890106123,779
1500000US010890107051,13
1500000US010890014042,58
1500000US010890014031,137
1500000US010890029122,701
1500000US010890106271,60
1500000US010890020001,806
1500000US010890109032,620
1500000US010890107063,0
1500000US010890002032,55
1500000US010890107052,602
1500000US010890002033,1398
1500000US010890106252,560
1500000US010890106232,866
1500000US010890107043,29
1500000US010890110241,0
1500000US010890106282,57
1500000US010890028031,1342
1500000US010890112022,471
1500000US010890106253,118
1500000US010890110123,0
1500000US010890106251,121
1500000US010890106233,0
1500000US010890014041,482
1500000US010890025023,0
1500000US010890023003,810
